Student,Sex (F/M),Profile,Age,Extroversion,Neuroticism,Psychoticism
0 (example),F,Designer/Programmer/Artist/Producer/All/None,21,75,45,34
1,M,Designer,21,64,82,35
2,M,Designer/Programmer,25,50,60,31
3,F,None,21,38,87,20
4,F,Artist,21,16,22,60
5,M,Programmer,21,52,55,41
6,M,Programmer/Producer,22,45,62,28
7,F,Artist/Compositor,21,81,34,30
8,M,Programmer/Designer,21,37,44,20
9,F,Designer,24,33,67,45
10,F,Programmer,20,42,80,21
11,M,Programmer,21,38,55,38
12,M,Designer,21,62,49,31
13,M,Programmer,21,82,44,36
14,M,Programmer,24,50,19,41
15,F,Designer,21,69,44,28
16,M,Artist/ Designer,24,67,50,38
17,M,Artist,21,35,62,36
18,M,Designer/programmer,22,37,29,50
19,M,Programmer,30,33,65,30
20,M,Designer,20,60,73,30
21,M,Designer,21,45,64,31
22,M,Designer,21,60,59,25
23,F,Artist/Designer,21,55,27,38
24,M,Artist,21,50,49,48
25,F,Artist,22,49,80,28
26,M,Artist,24,43,62,28
27,M,Designer/Artist,23,55,55,25
28,M,Artist,24,55,34,55
29,F,Programmer,20,91,47,41
30,M,Programmer,21,54,47,50
31,F,Designer,21,76,41,36
32,M,Designer/Artist,24,43,42,31
33,M,Programmer/Artist,21,33,25,27
34,M,Programmer,28,42,42,25
35,M,Designer,22,38,64,35
36,F,Progammer,21,74,31,33
37,M,Artist,21,69,18,53
38,M,Programmer,24,40,36,46
39,F,Artist,23,40,27,25
40,f,programmer,22,81,41,30
41,M,Artist/Desginer,26,62,42,21
42,M,Designer/Programmer,27,83,32,75
43,M,Designer,21,67,50,55
44,M,Designer,21,54,47,38
45,M,Artist/Designer,24,53,45,35
46,,,,,,
47,M,Artist,21,81,34,28
48,M,Artist,22,60,30,46
49,M,Programmer,21,70,72,85
,,,,,,
60,M,Artist,22,50,,4
